Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
NC-135,Orange County,50.03,95,5.18,44.85
NC-137,Pamlico County,60.87,102,6.88,53.99
NC-139,Pasquotank County,59.39,114,10.75,48.64
NC-141,Pender County,58.27,96,6.09,52.18
NC-143,Perquimans County,59.95,114,10.63,49.32
NC-145,Person County,47.28,84,3.37,43.91
NC-147,Pitt County,62.77,120,13.52,49.25
NC-149,Polk County,53.71,41,-3.92,57.63
NC-151,Randolph County,51.7,100,5.39,46.31
NC-153,Richmond County,47.55,77,0.81,46.74
NC-155,Robeson County,48,80,2.37,45.63
NC-157,Rockingham County,48.43,95,4.52,43.91
NC-159,Rowan County,42.82,40,-3.81,46.63
NC-161,Rutherford County,48.83,46,-2.59,51.42
NC-163,Sampson County,55.01,100,6.72,48.29
NC-165,Scotland County,46.24,69,0.03,46.21
NC-167,Stanly County,48.6,89,2.21,46.39
NC-169,Stokes County,51.43,101,5.54,45.89
NC-171,Surry County,52.55,92,5,47.55
NC-173,Swain County,68.68,93,5.2,63.48
NC-175,Transylvania County,75.18,84,5.33,69.85
NC-177,Tyrrell County,59.4,108,8.43,50.97
NC-179,Union County,35.06,10,-9.75,44.81
NC-181,Vance County,53.83,110,9.1,44.73
NC-183,Wake County,51.76,98,5.93,45.83
NC-185,Warren County,53.19,110,8.64,44.55
NC-187,Washington County,61,113,10.34,50.66
NC-189,Watauga County,56.19,84,3.44,52.75
NC-191,Wayne County,60.39,116,12.05,48.34
NC-193,Wilkes County,49.71,66,-0.03,49.74
NC-195,Wilson County,61.83,122,14.44,47.39
NC-197,Yadkin County,50.64,97,5.38,45.26
NC-199,Yancey County,56.56,90,4.72,51.84
ND-001,Adams County,14.74,45,-1.16,15.9
ND-003,Barnes County,17.54,28,-2.08,19.62
ND-005,Benson County,13.65,17,-3.55,17.2
ND-007,Billings County,11.24,9,-4.15,15.39
ND-009,Bottineau County,13.21,22,-3.13,16.34
ND-011,Bowman County,12.49,31,-2.38,14.87
ND-013,Burke County,14.12,32,-2.23,16.35
ND-015,Burleigh County,13.72,21,-2.89,16.61
ND-017,Cass County,16.44,14,-3.8,20.24
ND-019,Cavalier County,15.75,21,-3.23,18.98
ND-021,Dickey County,19.94,59,-0.24,20.18
ND-023,Divide County,11.21,12,-3.85,15.06
ND-025,Dunn County,12.38,9,-4.11,16.49
ND-027,Eddy County,12.92,8,-5.06,17.98
ND-029,Emmons County,14.79,28,-2.3,17.09
ND-031,Foster County,13.35,9,-5.01,18.36
ND-033,Golden Valley County,10.39,9,-4.44,14.83
ND-035,Grand Forks County,15.98,18,-3.35,19.33
ND-037,Grant County,14.48,29,-2.23,16.71
ND-039,Griggs County,14.39,10,-4.51,18.9
ND-041,Hettinger County,13.94,32,-2.47,16.41
ND-043,Kidder County,15.18,32,-2.02,17.2
ND-045,LaMoure County,19.85,65,0.19,19.66
ND-047,Logan County,16.41,39,-1.53,17.94
ND-049,McHenry County,13.19,19,-3.15,16.34
ND-051,McIntosh County,14.74,16,-3.43,18.17
ND-053,McKenzie County,10.9,10,-4.31,15.21
ND-055,McLean County,12.63,12,-3.68,16.31
ND-057,Mercer County,13.78,24,-2.45,16.23
ND-059,Morton County,13.5,19,-3.08,16.58
ND-061,Mountrail County,14.04,32,-1.95,15.99
ND-063,Nelson County,14.47,14,-4.16,18.63
ND-065,Oliver County,13.47,18,-3.3,16.77
ND-067,Pembina County,16.33,23,-2.98,19.31
ND-069,Pierce County,14.73,30,-1.95,16.68
ND-071,Ramsey County,13.52,12,-3.93,17.45
ND-073,Ransom County,18.95,40,-1.51,20.46
ND-075,Renville County,13.8,31,-2.33,16.13
ND-077,Richland County,21.26,60,0.11,21.15
ND-079,Rolette County,13.51,14,-4.1,17.61
ND-081,Sargent County,20.22,52,-0.32,20.54
ND-083,Sheridan County,14.65,21,-2.69,17.34
ND-085,Sioux County,15.22,35,-1.62,16.84
ND-087,Slope County,11.77,15,-3.62,15.39
ND-089,Stark County,13.65,24,-2.83,16.48
ND-091,Steele County,15.26,17,-3.99,19.25
ND-093,Stutsman County,15.9,24,-2.58,18.48
ND-095,Towner County,13.66,14,-4.18,17.84
ND-097,Traill County,16.09,17,-3.8,19.89
ND-099,Walsh County,15.61,23,-3.04,18.65
ND-101,Ward County,12.58,15,-3.88,16.46
ND-103,Wells County,14.88,19,-2.99,17.87
ND-105,Williams County,10.86,11,-3.91,14.77
OH-001,Adams County,49.88,108,6.9,42.98
OH-003,Allen County,39.58,91,4.35,35.23
OH-005,Ashland County,37.34,63,0.2,37.14
OH-007,Ashtabula County,39.2,50,-0.43,39.63
OH-009,Athens County,41.76,70,1.57,40.19
OH-011,Auglaize County,37.13,66,1.08,36.05
OH-013,Belmont County,43.9,85,3.04,40.86
OH-015,Brown County,48.35,98,4.86,43.49
OH-017,Butler County,43.78,85,3.18,40.6
OH-019,Carroll County,38.74,57,-0.09,38.83
OH-021,Champaign County,40.17,71,2.23,37.94
OH-023,Clark County,41.8,79,3.1,38.7
OH-025,Clermont County,46.06,85,3.2,42.86
OH-027,Clinton County,44.17,76,1.94,42.23
OH-029,Columbiana County,40.46,82,2.5,37.96
OH-031,Coshocton County,39.82,68,0.95,38.87
OH-033,Crawford County,36.94,52,-0.55,37.49
OH-035,Cuyahoga County,39.14,80,3.26,35.88
OH-037,Darke County,41.66,88,3.76,37.9
OH-039,Defiance County,41.35,117,7.58,33.77
OH-041,Delaware County,39.86,72,1.87,37.99
OH-043,Erie County,35.69,71,1.15,34.54
OH-045,Fairfield County,38.36,47,-1.43,39.79
OH-047,Fayette County,40.55,72,1.07,39.48
OH-049,Franklin County,41.23,79,2.88,38.35
OH-051,Fulton County,40.62,116,7.21,33.41
OH-053,Gallia County,45.81,102,4.54,41.27
OH-055,Geauga County,41.15,73,2.5,38.65
OH-057,Greene County,43.25,85,3.54,39.71
OH-059,Guernsey County,38.56,54,-0.85,39.41
OH-061,Hamilton County,44.86,91,3.96,40.9
OH-063,Hancock County,37.1,77,2.23,34.87
OH-065,Hardin County,35.5,59,0.02,35.48
OH-067,Harrison County,40.45,66,0.96,39.49
OH-069,Henry County,41.49,117,7.67,33.82
OH-071,Highland County,46.69,92,4.13,42.56
OH-073,Hocking County,38.21,43,-2.16,40.37
OH-075,Holmes County,38.16,59,-0.05,38.21
OH-077,Huron County,38,76,1.93,36.07
OH-079,Jackson County,44.18,87,2.92,41.26
OH-081,Jefferson County,41.47,82,2.62,38.85
OH-083,Knox County,42.05,81,2.63,39.42
OH-085,Lake County,38.9,63,1.38,37.52
OH-087,Lawrence County,48.01,110,5.99,42.02
OH-089,Licking County,41.79,71,2.05,39.74
OH-091,Logan County,38.33,72,1.76,36.57
OH-093,Lorain County,39.63,96,4.88,34.75
OH-095,Lucas County,37.82,109,5.43,32.39
OH-097,Madison County,40.5,81,2.57,37.93
OH-099,Mahoning County,41.09,92,3.87,37.22
OH-101,Marion County,34.56,40,-1.94,36.5
OH-103,Medina County,38.02,74,1.9,36.12
OH-105,Meigs County,45.07,94,4.44,40.63
OH-107,Mercer County,38.4,78,1.87,36.53
OH-109,Miami County,39.81,75,2.11,37.7
OH-111,Monroe County,43.8,76,1.43,42.37
OH-113,Montgomery County,42.42,89,3.49,38.93
OH-115,Morgan County,41.34,70,1.58,39.76
OH-117,Morrow County,39.39,61,0.24,39.15
OH-119,Muskingum County,39.73,63,0.61,39.12
OH-121,Noble County,40.01,57,-0.59,40.6
OH-123,Ottawa County,33.77,70,0.89,32.88
OH-125,Paulding County,43.2,120,8.92,34.28
OH-127,Perry County,41.8,79,2.32,39.48
OH-129,Pickaway County,37.52,47,-1.77,39.29
OH-131,Pike County,46.14,102,5.18,40.96
OH-133,Portage County,39.63,83,2.52,37.11
OH-135,Preble County,42.59,84,3.04,39.55
OH-137,Putnam County,40.49,108,6.16,34.33
OH-139,Richland County,37.56,50,-0.54,38.1
OH-141,Ross County,41.02,69,0.78,40.24
OH-143,Sandusky County,35.35,76,1.56,33.79
OH-145,Scioto County,47.45,107,5.61,41.84
OH-147,Seneca County,36.9,74,1.41,35.49
OH-149,Shelby County,37.8,67,0.74,37.06
OH-151,Stark County,37.63,59,0.22,37.41
OH-153,Summit County,35.43,54,-0.77,36.2
OH-155,Trumbull County,42.22,97,4.45,37.77
OH-157,Tuscarawas County,37.21,42,-1.34,38.55
OH-159,Union County,36.49,60,0.12,36.37
OH-161,Van Wert County,40.64,104,5.49,35.15
OH-163,Vinton County,42.08,73,1.35,40.73
OH-165,Warren County,44.7,88,3.13,41.57
OH-167,Washington County,41.76,67,0.89,40.87
OH-169,Wayne County,35.7,51,-0.84,36.54
OH-171,Williams County,40.65,113,6.64,34.01
OH-173,Wood County,37.72,98,4.32,33.4
OH-175,Wyandot County,36.92,70,1.32,35.6
OK-001,Adair County,49.07,85,3.94,45.13
OK-003,Alfalfa County,24.9,47,-2.56,27.46
OK-005,Atoka County,41.6,57,-1.69,43.29
OK-007,Beaver County,18.69,48,-1.77,20.46
OK-009,Beckham County,24.35,65,-0.2,24.55
OK-011,Blaine County,30.5,78,2.04,28.46
OK-013,Bryan County,40.37,66,-0.36,40.73
OK-015,Caddo County,32.46,83,2.14,30.32
OK-017,Canadian County,36.15,101,5.44,30.71
OK-019,Carter County,34.41,55,-2.14,36.55
OK-021,Cherokee County,50.23,100,6.66,43.57
OK-023,Choctaw County,47.7,75,2.47,45.23
OK-025,Cimarron County,13.3,34,-3.24,16.54
OK-027,Cleveland County,36.48,75,1.71,34.77
OK-029,Coal County,41.23,64,-0.17,41.4
OK-031,Comanche County,32.33,80,2.38,29.95
OK-033,Cotton County,31.79,79,1.81,29.98
OK-035,Craig County,47.67,97,5.56,42.11
OK-037,Creek County,37.95,68,0.42,37.53
OK-039,Custer County,26.73,66,0.09,26.64
OK-041,Delaware County,52.63,108,9.02,43.61
OK-043,Dewey County,25.98,63,-0.4,26.38
OK-045,Ellis County,22.75,59,-0.69,23.44
OK-047,Garfield County,32.18,73,1.69,30.49
OK-049,Garvin County,34.94,58,-0.9,35.84
OK-051,Grady County,36.19,91,3.75,32.44
OK-053,Grant County,27.27,48,-2.42,29.69
OK-055,Greer County,23.17,53,-2.07,25.24
OK-057,Harmon County,22.74,59,-1.43,24.17
OK-059,Harper County,19.85,34,-3.34,23.19
OK-061,Haskell County,48.91,85,4.67,44.24
OK-063,Hughes County,40.41,64,-0.68,41.09
OK-065,Jackson County,25.21,68,-0.21,25.42
OK-067,Jefferson County,32.38,61,-0.18,32.56
OK-069,Johnston County,39.32,69,-0.22,39.54
OK-071,Kay County,32.65,66,-0.53,33.18
OK-073,Kingfisher County,34.52,99,5.35,29.17
OK-075,Kiowa County,25.78,54,-1.64,27.42
OK-077,Latimer County,47.62,69,1.01,46.61
OK-079,Le Flore County,51.24,79,3.94,47.3
OK-081,Lincoln County,36.98,71,1.18,35.8
OK-083,Logan County,37.68,100,6.09,31.59
OK-085,Love County,35.35,68,-0.5,35.85
OK-087,McClain County,36.88,78,2.37,34.51
OK-089,McCurtain County,58.58,101,9.16,49.42
OK-091,McIntosh County,45.52,78,3.68,41.84
OK-093,Major County,25.41,50,-2.13,27.54
OK-095,Marshall County,37.24,60,-1.21,38.45
OK-097,Mayes County,49.09,101,7.13,41.96
OK-099,Murray County,36.69,56,-1.45,38.14
OK-101,Muskogee County,46,85,3.69,42.31
OK-103,Noble County,34.89,75,1.77,33.12
OK-105,Nowata County,42.01,77,2.55,39.46
OK-107,Okfuskee County,38.09,60,-0.49,38.58
OK-109,Oklahoma County,37.46,94,4.52,32.94
OK-111,Okmulgee County,39.46,65,-0.28,39.74
OK-113,Osage County,37.53,73,1.57,35.96
OK-115,Ottawa County,53.2,111,10.83,42.37
OK-117,Pawnee County,34.37,65,-0.8,35.17
OK-119,Payne County,34.66,67,0.26,34.4
OK-121,Pittsburg County,45.66,70,1.16,44.5
OK-123,Pontotoc County,40.34,72,0.92,39.42
OK-125,Pottawatomie County,35.66,58,-0.78,36.44
OK-127,Pushmataha County,49.47,69,1.01,48.46
OK-129,Roger Mills County,24.2,69,-0.4,24.6
OK-131,Rogers County,43.12,83,3.6,39.52
OK-133,Seminole County,36.23,55,-1.93,38.16
OK-135,Sequoyah County,50.73,89,5.89,44.84
OK-137,Stephens County,34.51,75,1.49,33.02
OK-139,Texas County,16.79,52,-1.37,18.16
OK-141,Tillman County,29.69,88,2.67,27.02
OK-143,Tulsa County,38.3,66,-0.13,38.43
OK-145,Wagoner County,42.6,77,1.64,40.96
OK-147,Washington County,41.74,90,3.98,37.76
OK-149,Washita County,27.07,66,0.1,26.97
OK-151,Woods County,23.13,42,-2.63,25.76
OK-153,Woodward County,23.11,46,-1.87,24.98
OR-001,Baker County,17.06,22,-4.06,21.12
OR-003,Benton County,55.6,53,-2.48,58.08
OR-005,Clackamas County,64.63,26,-9.62,74.25
OR-007,Clatsop County,84.75,48,-4.27,89.02
OR-009,Columbia County,53.93,50,-2.44,56.37
OR-011,Coos County,60.21,37,-8.55,68.76
OR-013,Crook County,10.41,15,-4.23,14.64
OR-015,Curry County,78.37,47,-7.64,86.01
OR-017,Deschutes County,17.79,16,-5.82,23.61
OR-019,Douglas County,45.25,26,-7.94,53.19
OR-021,Gilliam County,8.68,20,-2.52,11.2
OR-023,Grant County,15.76,14,-4.96,20.72
OR-025,Harney County,10.16,28,-2.67,12.83
OR-027,Hood River County,52.78,42,-5.58,58.36
OR-029,Jackson County,29.79,30,-6.98,36.77
OR-031,Jefferson County,14.72,24,-3.6,18.32
OR-033,Josephine County,49.32,45,-4.96,54.28
OR-035,Klamath County,19.99,17,-7.05,27.04
OR-037,Lake County,10.27,15,-4.13,14.4
OR-039,Lane County,56.02,28,-7.87,63.89
OR-041,Lincoln County,85.44,50,-4.33,89.77
OR-043,Linn County,61.63,29,-7.85,69.48
OR-045,Malheur County,11.24,44,-1.32,12.56
OR-047,Marion County,56.47,30,-7.02,63.49
OR-049,Morrow County,10.72,16,-3.36,14.08
OR-051,Multnomah County,55.59,34,-6.8,62.39
OR-053,Polk County,61.25,48,-5.33,66.58
OR-055,Sherman County,10.3,25,-2.82,13.12
OR-057,Tillamook County,99.35,60,-1.66,101.01
OR-059,Umatilla County,16.61,21,-3.76,20.37
OR-061,Union County,23.76,22,-4.97,28.73
OR-063,Wallowa County,20.66,14,-6.77,27.43
OR-065,Wasco County,16.38,25,-3.77,20.15
OR-067,Washington County,53.13,56,-2.57,55.7
OR-069,Wheeler County,11.98,12,-4.02,16
OR-071,Yamhill County,57.86,53,-2.95,60.81
PA-001,Adams County,47.06,97,4.77,42.29
PA-003,Allegheny County,44.44,113,6.06,38.38
PA-005,Armstrong County,47.07,98,4.85,42.22
PA-007,Beaver County,40.79,86,2.73,38.06
PA-009,Bedford County,41.84,93,3.7,38.14
PA-011,Berks County,50.47,102,6.22,44.25
PA-013,Blair County,46.64,112,7.02,39.62
PA-015,Bradford County,49.44,123,12.54,36.9
PA-017,Bucks County,54.19,109,8.71,45.48
PA-019,Butler County,45.55,103,4.83,40.72
PA-021,Cambria County,49.75,108,6.25,43.5
PA-023,Cameron County,50.76,119,9.49,41.27
PA-025,Carbon County,59.97,115,11.42,48.55
PA-027,Centre County,49.72,118,8.8,40.92
PA-029,Chester County,53.31,108,8.41,44.9
PA-031,Clarion County,46.43,90,3.28,43.15
PA-033,Clearfield County,46.08,98,3.9,42.18
PA-035,Clinton County,49.06,117,8.49,40.57
PA-037,Columbia County,50.4,112,7.91,42.49
PA-039,Crawford County,44.1,62,1.29,42.81
PA-041,Cumberland County,47.01,99,5.52,41.49
PA-043,Dauphin County,51.65,111,8.55,43.1
PA-045,Delaware County,51.86,106,7.59,44.27
PA-047,Elk County,46.89,98,3.85,43.04
PA-049,Erie County,45.13,69,2.18,42.95
PA-051,Fayette County,48.82,98,4.16,44.66
PA-053,Forest County,48.12,98,4.34,43.78
PA-055,Franklin County,43.81,89,3.34,40.47
PA-057,Fulton County,42.46,91,3.58,38.88
PA-059,Greene County,45.58,102,4.56,41.02
PA-061,Huntingdon County,46.16,107,6.83,39.33
PA-063,Indiana County,48.44,99,4.45,43.99
PA-065,Jefferson County,43.81,65,0.3,43.51
PA-067,Juniata County,50.44,114,8.83,41.61
PA-069,Lackawanna County,53.76,121,11.61,42.15
PA-071,Lancaster County,52.93,115,10.98,41.95
PA-073,Lawrence County,43.64,99,4.83,38.81
PA-075,Lebanon County,53.64,112,10.23,43.41
PA-077,Lehigh County,54.55,110,9.1,45.45
PA-079,Luzerne County,54.12,122,11.19,42.93
PA-081,Lycoming County,51.43,115,10.02,41.41
PA-083,McKean County,47.98,104,4.62,43.36
PA-085,Mercer County,44.11,89,3.28,40.83
PA-087,Mifflin County,51.09,118,10.21,40.88
PA-089,Monroe County,64.04,121,16.12,47.92
PA-091,Montgomery County,54.07,109,9.27,44.8
PA-093,Montour County,48.39,113,7.23,41.16
PA-095,Northampton County,57.97,116,12.22,45.75
PA-097,Northumberland County,47.82,107,6.4,41.42
PA-099,Perry County,49.57,103,6.93,42.64
PA-101,Philadelphia County,54.72,113,10.57,44.15
PA-103,Pike County,56.06,118,11.78,44.28
PA-105,Potter County,50.94,122,10.82,40.12
PA-107,Schuylkill County,52.92,101,6.39,46.53
PA-109,Snyder County,50.34,111,7.88,42.46
PA-111,Somerset County,46.99,91,3.46,43.53
PA-113,Sullivan County,56.87,122,12.92,43.95
PA-115,Susquehanna County,50.87,118,10.1,40.77
PA-117,Tioga County,50.46,123,14.07,36.39
PA-119,Union County,48.79,108,7.41,41.38
PA-121,Venango County,46.76,99,4.62,42.14
PA-123,Warren County,49.85,106,6.22,43.63
PA-125,Washington County,44.45,106,5.19,39.26
PA-127,Wayne County,50.5,105,7.86,42.64
PA-129,Westmoreland County,50.48,117,8.13,42.35
PA-131,Wyoming County,53.87,123,13.3,40.57
PA-133,York County,49.92,106,8.5,41.42
RI-001,Bristol County,59.07,123,14.34,44.73
RI-003,Kent County,60.15,122,14.24,45.91
RI-005,Newport County,56.92,121,13.73,43.19
RI-007,Providence County,62.82,124,16.49,46.33
RI-009,Washington County,54.45,114,10.62,43.83
SC-001,Abbeville County,51.13,91,3.2,47.93
SC-003,Aiken County,54.48,111,8.93,45.55
SC-005,Allendale County,55.26,111,8.89,46.37
SC-007,Anderson County,50.84,82,1.91,48.93
SC-009,Bamberg County,56.84,112,10.17,46.67
SC-011,Barnwell County,55.45,112,9.28,46.17
SC-013,Beaufort County,50.17,81,2.07,48.1
SC-015,Berkeley County,49.76,77,1.26,48.5
SC-017,Calhoun County,52.6,100,6.52,46.08
SC-019,Charleston County,52.69,91,4.27,48.42
SC-021,Cherokee County,45.44,54,-3.52,48.96
SC-023,Chester County,41.24,39,-4.89,46.13
SC-025,Chesterfield County,44.8,69,-1.07,45.87
SC-027,Clarendon County,49.33,82,1.54,47.79
SC-029,Colleton County,55.03,106,7.34,47.69
SC-031,Darlington County,50.25,96,4.4,45.85
SC-033,Dillon County,51,95,5.17,45.83
SC-035,Dorchester County,52.12,92,4.37,47.75
SC-037,Edgefield County,49.15,91,3.34,45.81
SC-039,Fairfield County,44.43,67,-1.12,45.55
SC-041,Florence County,51.61,98,4.5,47.11
SC-043,Georgetown County,53.34,89,3.82,49.52
SC-045,Greenville County,54.5,54,-1.18,55.68
SC-047,Greenwood County,47.72,75,0.77,46.95
SC-049,Hampton County,55.64,105,8.54,47.1
SC-051,Horry County,55.09,101,6.22,48.87
SC-053,Jasper County,52.17,94,3.93,48.24
SC-055,Kershaw County,45.4,73,-0.42,45.82
SC-057,Lancaster County,39.78,30,-5.75,45.53
SC-059,Laurens County,44.48,45,-3.43,47.91
SC-061,Lee County,48.62,82,2.29,46.33
SC-063,Lexington County,53.39,103,7.68,45.71
SC-065,McCormick County,48.48,83,1.84,46.64
SC-067,Marion County,54.42,105,7.08,47.34
SC-069,Marlboro County,47.06,77,1.15,45.91
SC-071,Newberry County,46.56,78,0.53,46.03
SC-073,Oconee County,61.6,67,0.73,60.87
SC-075,Orangeburg County,53.15,103,6.44,46.71
SC-077,Pickens County,61.56,83,2.73,58.83
SC-079,Richland County,50.09,94,4.75,45.34
SC-081,Saluda County,51.62,98,5.55,46.07
SC-083,Spartanburg County,48.5,50,-2.78,51.28
SC-085,Sumter County,49.21,89,2.78,46.43
SC-087,Union County,43.82,42,-4.21,48.03
SC-089,Williamsburg County,50.8,87,2.17,48.63
SC-091,York County,39.67,26,-7.23,46.9
SD-003,Aurora County,18.05,30,-3.34,21.39
SD-005,Beadle County,20.77,65,0.54,20.23
SD-007,Bennett County,18.44,66,0.13,18.31
SD-009,Bon Homme County,20.95,33,-3.1,24.05
SD-011,Brookings County,24.26,69,1.2,23.06
SD-013,Brown County,20.37,65,0.27,20.1
SD-015,Brule County,18.18,37,-1.91,20.09
SD-017,Buffalo County,19.08,66,0.23,18.85
SD-019,Butte County,12.25,23,-3.24,15.49
SD-021,Campbell County,14.44,23,-2.72,17.16
SD-023,Charles Mix County,19.44,32,-2.95,22.39
SD-025,Clark County,24.85,86,3.08,21.77
SD-027,Clay County,22.18,28,-3.21,25.39
SD-029,Codington County,28.44,106,5.6,22.84
SD-031,Corson County,15.77,49,-1.1,16.87
SD-033,Custer County,16.98,62,-0.83,17.81
SD-035,Davison County,19.01,36,-2.7,21.71
SD-037,Day County,24.88,94,3.25,21.63
SD-039,Deuel County,27.92,95,4.11,23.81
SD-041,Dewey County,15.17,40,-1.75,16.92
SD-043,Douglas County,19.26,28,-3.07,22.33
SD-045,Edmunds County,17.51,45,-1.41,18.92
SD-047,Fall River County,15.62,57,-1.02,16.64
SD-049,Faulk County,18.89,62,0.03,18.86
SD-051,Grant County,30.23,114,7.01,23.22
SD-053,Gregory County,19.2,36,-2.5,21.7
SD-055,Haakon County,13.22,18,-3.81,17.03
SD-057,Hamlin County,26.61,95,4,22.61
SD-059,Hand County,20.22,71,0.91,19.31
SD-061,Hanson County,19.34,31,-2.83,22.17
SD-063,Harding County,12.17,30,-2.38,14.55
SD-065,Hughes County,15.57,42,-1.6,17.17
SD-067,Hutchinson County,21.12,40,-2.44,23.56
SD-069,Hyde County,17.29,56,-0.8,18.09
SD-071,Jackson County,15.21,38,-2.15,17.36
SD-073,Jerauld County,19.34,50,-1.41,20.75
SD-075,Jones County,16.99,61,-0.38,17.37
SD-077,Kingsbury County,23.12,73,0.88,22.24
SD-079,Lake County,21,33,-2.61,23.61
SD-081,Lawrence County,20.05,30,-3.84,23.89
SD-083,Lincoln County,26.98,68,1.36,25.62
SD-085,Lyman County,19.17,71,0.87,18.3
SD-087,McCook County,20.79,31,-3.04,23.83
SD-089,McPherson County,16.02,21,-2.71,18.73
SD-091,Marshall County,23.2,86,2.14,21.06
SD-093,Meade County,13.37,25,-3.53,16.9
SD-095,Mellette County,17.84,58,-0.42,18.26
SD-097,Miner County,19.61,32,-2.41,22.02
SD-099,Minnehaha County,24.11,50,-0.92,25.03
SD-101,Moody County,23.18,53,-0.72,23.9
SD-102,Oglala Lakota County,15.42,46,-1.81,17.23
SD-103,Pennington County,15.25,33,-2.66,17.91
SD-105,Perkins County,13.95,34,-1.85,15.8
SD-107,Potter County,15.8,37,-1.86,17.66
SD-109,Roberts County,27.28,102,5.31,21.97
SD-111,Sanborn County,18.58,35,-2.47,21.05
SD-115,Spink County,20.95,74,0.98,19.97
SD-117,Stanley County,14.25,32,-2.35,16.6
SD-119,Sully County,14.69,36,-2,16.69
SD-121,Todd County,19.51,63,0.06,19.45
SD-123,Tripp County,18.87,47,-1.16,20.03
SD-125,Turner County,23.77,52,-1.32,25.09
SD-127,Union County,22.59,28,-3.35,25.94
SD-129,Walworth County,16.71,44,-1.24,17.95
SD-135,Yankton County,21.78,33,-2.94,24.72
SD-137,Ziebach County,14.04,31,-2.24,16.28
TN-001,Anderson County,58.21,88,6.11,52.1
TN-003,Bedford County,70.16,123,17.07,53.09
TN-005,Benton County,54.13,84,3.22,50.91
TN-007,Bledsoe County,62.42,94,6.41,56.01
TN-009,Blount County,56.95,81,3.15,53.8
TN-011,Bradley County,62.16,110,9.77,52.39
TN-013,Campbell County,61.91,111,10.27,51.64
TN-015,Cannon County,66.09,114,12,54.09
TN-017,Carroll County,54.63,78,3.67,50.96
TN-019,Carter County,52.1,98,4.52,47.58
TN-021,Cheatham County,55.23,96,6.22,49.01
TN-023,Chester County,60.47,104,8.84,51.63
TN-025,Claiborne County,53.43,80,3.1,50.33
TN-027,Clay County,56.44,90,3.92,52.52
TN-029,Cocke County,54.88,107,7,47.88
TN-031,Coffee County,66.41,114,12.08,54.33
TN-033,Crockett County,54.07,81,3.92,50.15
TN-035,Cumberland County,59.01,84,3.99,55.02
TN-037,Davidson County,57.28,107,8.87,48.41
TN-039,Decatur County,61.81,104,9.56,52.25
TN-041,DeKalb County,62.02,109,8.78,53.24
TN-043,Dickson County,60.77,110,10.54,50.23
TN-045,Dyer County,49.76,75,1.25,48.51
TN-047,Fayette County,55.34,79,3.26,52.08
TN-049,Fentress County,62.92,108,9.85,53.07
TN-051,Franklin County,70,118,15.52,54.48
TN-053,Gibson County,55.01,84,4.65,50.36
TN-055,Giles County,68.08,115,14.1,53.98
TN-057,Grainger County,49.84,79,2.19,47.65
TN-059,Greene County,50.17,107,6.01,44.16
TN-061,Grundy County,66.33,99,9.5,56.83
TN-063,Hamblen County,46.87,77,1.54,45.33
TN-065,Hamilton County,61.54,95,6.98,54.56
TN-067,Hancock County,50.52,78,2.05,48.47
TN-069,Hardeman County,56.46,86,3.96,52.5
TN-071,Hardin County,68.3,115,16.09,52.21
TN-073,Hawkins County,48.99,87,3.08,45.91
TN-075,Haywood County,53.7,75,3.01,50.69
TN-077,Henderson County,58.32,94,6.76,51.56
TN-079,Henry County,53.7,81,3.48,50.22
TN-081,Hickman County,67.78,121,15.87,51.91
TN-083,Houston County,57.49,94,7.12,50.37
TN-085,Humphreys County,59.86,99,8.43,51.43
TN-087,Jackson County,60.62,101,7.31,53.31
TN-089,Jefferson County,50.52,99,4.67,45.85
TN-091,Johnson County,53.88,106,4.91,48.97
TN-093,Knox County,53.92,91,4.65,49.27
TN-095,Lake County,50.59,79,2.28,48.31
TN-097,Lauderdale County,48.22,63,-1.12,49.34
TN-099,Lawrence County,68.12,114,13.76,54.36
TN-101,Lewis County,70,122,16.81,53.19
TN-103,Lincoln County,70.22,118,15.89,54.33
TN-105,Loudon County,53.05,73,1.39,51.66
TN-107,McMinn County,59.42,100,6.73,52.69
TN-109,McNairy County,64.51,113,12.38,52.13
TN-111,Macon County,56.24,90,3.51,52.73
TN-113,Madison County,56.51,92,5.26,51.25
TN-115,Marion County,69.39,113,12.7,56.69
TN-117,Marshall County,69.79,121,17.05,52.74
TN-119,Maury County,63.76,116,12.25,51.51
TN-121,Meigs County,58.34,87,4.71,53.63
TN-123,Monroe County,62.78,101,7.11,55.67
TN-125,Montgomery County,53.15,87,4.22,48.93
TN-127,Moore County,69.45,117,14.99,54.46
TN-129,Morgan County,59.8,91,6.78,53.02
TN-131,Obion County,55.98,91,6.35,49.63
TN-133,Overton County,59.51,93,5.91,53.6
TN-135,Perry County,66.63,116,13.79,52.84
TN-137,Pickett County,60.86,101,8.44,52.42
TN-139,Polk County,65.44,111,10.85,54.59
TN-141,Putnam County,61.02,98,6.48,54.54
TN-143,Rhea County,59.28,85,3.96,55.32
TN-145,Roane County,54.96,78,2.61,52.35
TN-147,Robertson County,53.79,90,4.81,48.98
TN-149,Rutherford County,65.87,117,14.83,51.04
TN-151,Scott County,63.14,108,10.52,52.62
TN-153,Sequatchie County,63.83,91,6.6,57.23
TN-155,Sevier County,61.1,100,6.61,54.49
TN-157,Shelby County,55.12,84,4.44,50.68
TN-159,Smith County,61.27,106,8.44,52.83
